id;pais;cidade;telefone;idade;operadora;estado_civil
Preston Y. Bowman;Botswana;Vorst;55(81)76921100;51;TIM;Casado
Wyatt D. Goodwin;Isle of Man;Friedrichshafen;55(44)59503725;30;VIVO;Divorciado
Merritt X. Buck;Bulgaria;Ucluelet;55(70)60244684;31;CLARO;Casado
Francis W. Lara;Philippines;Trivandrum;55(11)53213439;42;NEXTEL;Solteiro
Amal B. Miller;Cyprus;Créteil;55(53)66991003;21;CLARO;Divorciado
Steel S. Petersen;Namibia;Wadgassen;55(91)38704414;31;VIVO;Casado
Brett Rowe;Montenegro;Slijpe;55(79)92023659;30;NEXTEL;Divorciado
Katell I. William;Trinidad and Tobago;Keiem;55(68)88428249;30;VIVO;Solteiro
Samantha S. Casey;Haiti;Beypazarı;55(07)99309328;56;NEXTEL;Casado
Kameko R. Morton;Northern Mariana Islands;Gatineau;55(11)46772889;45;CLARO;Divorciado
Reese Allen;Israel;Elsene;55(31)60383417;22;VIVO;Divorciado
Charissa M. Callahan;Liberia;Nicolosi;55(33)71431424;57;NEXTEL;Divorciado
Ayanna Goff;Djibouti;Coaldale;55(02)20441030;43;CLARO;Casado
Upton Byers;Kazakhstan;Papasidero;55(01)75425274;31;NEXTEL;Solteiro
Janna C. Levy;Dominica;Pak Pattan;55(52)36693734;27;NEXTEL;Divorciado
Adrian Best;Saint Vincent and The Grenadines;Woodlands County;55(10)11642310;51;CLARO;Divorciado
Pascale Ryan;Madagascar;Parauapebas;55(86)55642297;28;OI;Divorciado
Myles Bray;Spain;Rollegem;55(25)83728358;59;NEXTEL;Solteiro
Ciaran X. Vang;Liberia;Weymouth;55(25)69567660;38;OI;Casado
Jerry Maxwell;Antigua and Barbuda;Leoben;55(90)46889014;52;TIM;Solteiro
Elmo Beasley;Greenland;Fort Smith;55(03)78555019;43;VIVO;Solteiro
Todd K. Long;Honduras;Cherbourg-Octeville;55(24)69882336;52;NEXTEL;Solteiro
Shaeleigh W. Powers;Ireland;Kufstein;55(36)20846877;35;OI;Divorciado
Kerry Gibbs;Slovakia;Oostkerke;55(01)19896427;50;VIVO;Solteiro
Joelle Hester;Sierra Leone;Pierrefonds;55(86)18615080;34;TIM;Solteiro
Lynn P. Richards;Libya;Huntley;55(55)54360790;44;VIVO;Solteiro
Uta V. Barber;Falkland Islands;Coronel;55(58)45002692;57;TIM;Casado
Tallulah Vazquez;Greenland;Moncton;55(13)37107788;28;CLARO;Solteiro
Regan Schneider;South Sudan;Rycroft;55(92)10045391;60;VIVO;Casado
Marcia Finch;Sao Tome and Principe;Norderstedt;55(25)23593508;42;OI;Solteiro
Cyrus U. Pratt;Turkmenistan;Ansfelden;55(96)40975419;37;NEXTEL;Solteiro
Kellie W. Lloyd;Malta;Crystal Springs;55(86)28040589;32;OI;Solteiro
Malik Sullivan;Papua New Guinea;Melipilla;55(22)91373841;43;NEXTEL;Casado
Dawn Holder;South Georgia and The South Sandwich Islands;Keumiee;55(04)88023840;59;NEXTEL;Casado
Victor Glover;Latvia;Dreieich;55(58)80494020;21;VIVO;Divorciado
Yolanda Robbins;Czech Republic;Lethbridge;55(41)17150721;47;VIVO;Divorciado
Maia M. Byers;Suriname;Elgin;55(70)91139033;58;TIM;Divorciado
Herrod R. Wilkinson;Poland;Nashik;55(02)43216662;51;VIVO;Divorciado
Kaden Decker;Niger;HomprŽ;55(86)61555330;33;OI;Divorciado
Lesley Dorsey;Bosnia and Herzegovina;Sierra Gorda;55(27)38114859;48;VIVO;Casado
Leigh Z. Madden;Saint Kitts and Nevis;NeuprŽ;55(22)10652009;19;NEXTEL;Casado
John Thompson;Palestine, State of;Tucson;55(98)20771024;44;CLARO;Divorciado
Chava Adkins;Liberia;Bard;55(05)63546165;53;CLARO;Solteiro
Chaney T. Randall;Macao;Gelbressee;55(84)27369172;23;VIVO;Divorciado
Dalton Gates;Malaysia;Oderzo;55(99)99067767;46;NEXTEL;Divorciado
Giacomo Hansen;Namibia;San Lorenzo Nuovo;55(33)37763957;56;NEXTEL;Casado
Uta V. Oconnor;Sudan;Tiltil;55(84)82966352;30;OI;Casado
Kelsey Greene;Kiribati;Curitiba;55(10)20709030;21;OI;Solteiro
Scott Ingram;Azerbaijan;Lingen;55(79)30797997;24;TIM;Divorciado
