id;pais;cidade;telefone;idade;operadora;estado_civil
Kiayada Long;Virgin Islands, British;Monghidoro;55(78)28095053;58;VIVO;Casado
Isaiah T. Gilbert;Chad;Ilesa;55(99)44042144;51;CLARO;Solteiro
Ria Mann;Jamaica;Zerkegem;55(83)21261642;25;CLARO;Divorciado
Uriel Berry;France;Sart-Eustache;55(40)77294994;35;NEXTEL;Divorciado
Kuame Neal;United States Minor Outlying Islands;Bhatinda;55(93)29671379;19;VIVO;Casado
Sasha Price;Saint Barthélemy;Gougnies;55(16)29178221;33;CLARO;Casado
Sawyer Cabrera;Somalia;Morolo;55(60)52857838;50;VIVO;Divorciado
Hedy Holland;Ghana;Morro d'Alba;55(41)17941548;25;CLARO;Casado
Ila Baker;Northern Mariana Islands;MabomprŽ;55(01)86095779;44;OI;Divorciado
Ferdinand Vinson;Finland;Laives/Leifers;55(10)78534230;49;VIVO;Divorciado
Echo T. Cooke;Liberia;Bitterfeld-Wolfen;55(41)11823880;34;NEXTEL;Divorciado
Abbot Gonzales;Senegal;Sosnowiec;55(88)81717961;43;CLARO;Casado
Kato Poole;Benin;Gönen;55(48)25514422;53;TIM;Casado
Felix Walls;Burkina Faso;Täby;55(50)49853588;41;OI;Casado
Hashim J. Alvarado;New Caledonia;Verrayes;55(93)27587589;19;TIM;Solteiro
Candice X. Herrera;Ghana;Nîmes;55(89)18533056;58;VIVO;Divorciado
Vernon R. Boyd;Luxembourg;Mandasor;55(98)65306237;29;NEXTEL;Divorciado
Phelan Randall;Macao;Padre las Casas;55(58)95225393;35;VIVO;Casado
Kevyn P. Rojas;Paraguay;Araban;55(66)42214864;46;TIM;Divorciado
Sybil H. Curtis;United States;South Burlington;55(25)58531978;53;VIVO;Solteiro
Wynter F. Pearson;Morocco;Aalen;55(74)80097543;25;TIM;Solteiro
Perry L. English;Niue;Bad Nauheim;55(97)67150670;54;TIM;Divorciado
Daphne J. Mcknight;Sweden;Bathgate;55(08)32861160;49;OI;Solteiro
Myra B. Peterson;Laos;Kelowna;55(54)72869648;38;VIVO;Casado
Slade Buck;Colombia;Springfield;55(29)69698614;48;CLARO;Casado
Marsden X. Roth;Somalia;Orangeville;55(40)12027543;47;TIM;Divorciado
Kaitlin Woods;Pakistan;Köflach;55(98)10287165;55;TIM;Solteiro
Hamilton Galloway;Finland;Lafayette;55(32)22332092;53;OI;Casado
Quamar Griffith;Pitcairn Islands;Chaitén;55(51)56658139;54;OI;Divorciado
Robert Estes;Barbados;Lanaken;55(97)16902505;43;TIM;Casado
Demetrius Taylor;Virgin Islands, United States;Izel;55(46)27545258;30;VIVO;Divorciado
Ray Ford;Norfolk Island;Rexton;55(22)57833318;56;CLARO;Casado
Alec Beasley;South Georgia and The South Sandwich Islands;Ludvika;55(97)76766512;24;OI;Casado
Brianna H. Jimenez;Uzbekistan;GozŽe;55(35)67970914;37;TIM;Solteiro
Serina Q. Soto;Falkland Islands;Burnpur;55(00)48221656;53;TIM;Casado
Oscar Richardson;Sudan;Kalisz;55(40)63464386;20;CLARO;Divorciado
Willow T. Benson;Macao;Pugwash;55(20)61771813;41;CLARO;Solteiro
Carter Delgado;France;San José de Alajuela;55(83)19601898;26;VIVO;Divorciado
Ralph P. Todd;Swaziland;Coquimbo;55(16)69493847;57;CLARO;Divorciado
Mercedes H. Patel;Italy;Estevan;55(11)81891966;58;NEXTEL;Casado
Sloane Williamson;Venezuela;Erdemli;55(56)70606659;28;VIVO;Divorciado
Maya Dorsey;Malaysia;Zwijnaarde;55(45)48407825;48;OI;Divorciado
Chanda G. Peterson;Turkmenistan;Bromyard;55(89)23050377;20;CLARO;Solteiro
Rae S. Mcbride;Turkmenistan;Anglet;55(04)41967840;46;CLARO;Casado
Maile Guerrero;Israel;Nazilli;55(84)70205998;51;NEXTEL;Casado
Marsden Foster;Sudan;Charleville-Mézières;55(96)95978569;50;CLARO;Casado
Shelley Lester;Antarctica;Moose Jaw;55(75)50183909;37;OI;Solteiro
Gabriel Q. Townsend;Côte D'Ivoire (Ivory Coast);Penrith;55(78)36268247;53;OI;Divorciado
Colt V. Roberson;United States Minor Outlying Islands;Bismil;55(89)66573422;29;OI;Divorciado
Nora Valentine;Belgium;Pemberton;55(69)12955996;32;CLARO;Solteiro
Orlando X. Melendez;Cameroon;Ortacesus;55(31)23946039;44;TIM;Casado
Malcolm Hays;Paraguay;Villers-aux-Tours;55(79)65018196;50;CLARO;Casado
Amelia Hughes;Anguilla;Oliver;55(69)93006560;18;NEXTEL;Divorciado
Noelani Calderon;Virgin Islands, United States;Quellón;55(57)83466821;52;OI;Divorciado
Omar C. Vega;Heard Island and Mcdonald Islands;Itapipoca;55(66)48224275;59;CLARO;Divorciado
Benjamin Bryant;Nauru;Iqaluit;55(00)50787276;31;NEXTEL;Casado
Theodore Crosby;Timor-Leste;Acquafondata;55(05)12957956;60;CLARO;Casado
Deacon Gross;Oman;Macklin;55(84)36920133;29;TIM;Divorciado
Yetta Harris;Myanmar;Durham;55(36)31815505;54;TIM;Divorciado
Kirestin D. Salas;Italy;Shawinigan;55(96)78895784;50;NEXTEL;Casado
Madeson D. Maxwell;Iran;Avigliano Umbro;55(21)55231932;19;CLARO;Solteiro
Karina T. Gilbert;Belize;Rezé;55(88)50163285;24;NEXTEL;Solteiro
Clio Q. Hays;Serbia;Wha Ti;55(04)93062805;57;CLARO;Divorciado
Ivory S. Haynes;Sweden;Monte San Pietrangeli;55(49)32749690;51;OI;Divorciado
Nadine Bradford;Bangladesh;Burdinne;55(76)73833551;28;NEXTEL;Solteiro
Oleg Roberson;Tokelau;Rocca San Felice;55(38)96571684;44;NEXTEL;Divorciado
Driscoll Wyatt;Monaco;Santa Cruz;55(25)84753028;54;VIVO;Divorciado
Lavinia Mendoza;Lithuania;Rockville;55(05)19032544;31;OI;Casado
Wing K. Carroll;Bermuda;Heide;55(55)43522637;43;OI;Casado
Conan Cummings;Mexico;Alness;55(46)79928513;29;OI;Solteiro
Yen Mitchell;Romania;Falciano del Massico;55(57)76380895;28;OI;Casado
Samuel Merrill;India;Waret-l'Evque;55(41)43142257;48;OI;Divorciado
Boris Fry;Finland;Londerzeel;55(32)28682316;41;TIM;Solteiro
Theodore Durham;Botswana;Mielec;55(08)33008954;47;OI;Divorciado
Malachi G. Craig;United States Minor Outlying Islands;Venlo;55(18)11705547;35;CLARO;Casado
