id;pais;cidade;telefone;idade;operadora;estado_civil
Kadeem U. Morris;Swaziland;Aquila d'Arroscia;55(08)25780480;24;NEXTEL;Divorciado
Lee Stevens;Sierra Leone;Desteldonk;55(48)98962902;47;NEXTEL;Casado
Odysseus Q. Cervantes;Monaco;Lauro de Freitas;55(71)25634314;26;NEXTEL;Solteiro
Slade Myers;Mali;Itabuna;55(49)85642644;36;TIM;Solteiro
Ayanna Gonzales;Tuvalu;Salzburg;55(79)60537235;41;TIM;Casado
Gay Houston;Iran;Libramont-Chevigny;55(79)38479075;55;OI;Divorciado
Cailin Vega;Saint Lucia;Sint-Lambrechts-Herk;55(23)59967390;28;OI;Solteiro
Kieran Sanchez;Korea, South;Smithers;55(77)13708485;25;CLARO;Casado
Quin N. Wilkinson;Holy See (Vatican City State);Bromyard;55(64)58680431;57;OI;Divorciado
Zorita N. Bell;Nigeria;Dieppe;55(72)74678081;34;TIM;Casado
Noelle Z. Blackburn;Kazakhstan;Orbais;55(92)70638406;31;TIM;Solteiro
Chadwick Page;Nigeria;Seraing;55(84)59643914;53;CLARO;Solteiro
Portia Mercado;Nauru;Belfort;55(91)91960982;27;VIVO;Solteiro
Eliana A. Hurley;Palestine, State of;Newark;55(98)70725640;52;VIVO;Solteiro
Quinn D. Mendez;Tuvalu;Latinne;55(88)85272768;26;CLARO;Casado
Ivana D. England;Togo;Ila;55(80)66116645;53;VIVO;Solteiro
Colby A. Medina;Montserrat;Villenave-d'Ornon;55(68)17615592;59;OI;Solteiro
Elton S. Camacho;South Georgia and The South Sandwich Islands;Petorca;55(92)90883317;45;VIVO;Solteiro
Aristotle Odom;Virgin Islands, United States;Ham-sur-Sambre;55(09)10271047;27;CLARO;Solteiro
Shad Dixon;Serbia;Banff;55(26)38929773;58;OI;Divorciado
Jenette Kaufman;Kazakhstan;La Baie;55(92)46121884;19;NEXTEL;Solteiro
Kameko V. Baxter;Uganda;Raipur;55(58)76955750;32;TIM;Casado
Demetria G. Barrera;Åland Islands;Koekelberg;55(94)29987738;50;OI;Casado
Jeanette Herrera;Gabon;Aalen;55(24)29965802;31;OI;Casado
Hedwig Randolph;Portugal;Lagos;55(38)24815851;24;OI;Solteiro
Mark P. Horne;Sudan;Innsbruck;55(09)43183005;59;VIVO;Solteiro
Ezekiel I. Elliott;Kyrgyzstan;Staßfurt;55(90)63726011;33;OI;Casado
Jaime O. Meyers;Martinique;Rodez;55(17)28380089;38;NEXTEL;Casado
Constance Velez;Saint Helena, Ascension and Tristan da Cunha;Casper;55(99)80076393;25;OI;Casado
Ahmed Witt;Samoa;Pescantina;55(94)35647390;38;CLARO;Casado
Lionel Nguyen;Papua New Guinea;Saint-Martin;55(24)83585923;38;TIM;Solteiro
Nash Medina;Cayman Islands;Ipswich;55(18)88025872;41;NEXTEL;Divorciado
Mia X. Harrington;Paraguay;Nagpur;55(67)88498010;24;TIM;Divorciado
Raphael Vance;Mayotte;Roio del Sangro;55(66)25049009;20;OI;Divorciado
Faith Walters;Tajikistan;Piła;55(32)68938889;34;NEXTEL;Solteiro
Jarrod Whitley;Mali;New Sarepta;55(17)96768497;47;NEXTEL;Casado
Stephen B. Anthony;New Zealand;Sint-Joost-ten-Node;55(13)77283889;30;OI;Solteiro
Noel W. Padilla;Canada;Lourdes;55(16)34669543;19;NEXTEL;Divorciado
Dane D. Potts;Northern Mariana Islands;Sassocorvaro;55(96)20122646;56;OI;Divorciado
Wynter F. Black;Syria;Kelowna;55(58)79558602;46;VIVO;Casado
Ocean W. Bennett;Belarus;Freising;55(65)27303912;47;NEXTEL;Divorciado
Nasim Ramirez;Seychelles;Casperia;55(33)99455754;29;OI;Solteiro
Dalton P. Farrell;Tajikistan;Rinconada;55(19)31765717;22;VIVO;Solteiro
