id;pais;cidade;telefone;idade;operadora;estado_civil
Cole E. Branch;El Salvador;Palayankottai;55(13)40524450;56;TIM;Casado
Margaret S. Walker;Togo;Pitrufquén;55(11)31641656;26;TIM;Solteiro
Alec Tyler;Bangladesh;Sgonico;55(06)37882098;56;CLARO;Divorciado
Brittany S. Hamilton;Ethiopia;Radebeul;55(20)19886037;27;TIM;Casado
Rosalyn Manning;Guadeloupe;Flamierge;55(87)82049255;42;VIVO;Solteiro
Ima Vasquez;Bermuda;North Cowichan;55(16)15043024;24;VIVO;Casado
Flynn Y. Mays;Equatorial Guinea;Pallavaram;55(52)98846374;55;TIM;Casado
Edan E. Wilkins;Turkmenistan;Frigento;55(37)74937809;56;CLARO;Casado
Madonna Whitley;Aruba;Vliermaalroot;55(64)49826983;41;TIM;Casado
Lee Small;Mauritania;Goderich;55(80)57918661;28;OI;Casado
Cruz Keith;Lithuania;Dallas;55(56)64219035;36;CLARO;Solteiro
Carlos Emerson;Ecuador;Francofonte;55(59)76256673;29;OI;Divorciado
Morgan Whitney;Martinique;Holman;55(76)13040776;44;OI;Casado
Dale Schmidt;Cambodia;Relegem;55(78)80560154;56;OI;Solteiro
Lara P. Burgess;Sri Lanka;Callander;55(52)72154348;48;CLARO;Solteiro
Odysseus Harmon;Malaysia;Sainte-Marie-sur-Semois;55(39)88656216;32;CLARO;Casado
Jolene Knapp;Iraq;Erie;55(73)90247388;48;CLARO;Casado
Coby Whitley;Isle of Man;Sant'Agata Bolognese;55(38)86386963;58;CLARO;Solteiro
Alfonso Whitaker;Senegal;Machalí;55(25)48960514;21;NEXTEL;Casado
Declan F. Allison;Moldova;Casacalenda;55(74)92375021;24;OI;Divorciado
Cedric U. Guthrie;Guernsey;Builth Wells;55(31)17435331;35;CLARO;Solteiro
Sybill Tran;Nigeria;Bamberg;55(68)53450411;45;NEXTEL;Solteiro
Deacon Velazquez;Grenada;Barmouth;55(09)12817242;46;OI;Solteiro
Jerry E. Kerr;Barbados;Pietraroja;55(94)53436311;28;OI;Casado
Upton G. Oneil;Trinidad and Tobago;Porto Cesareo;55(61)22527353;41;OI;Divorciado
Megan Duran;Brunei;Cambridge Bay;55(18)62276640;20;NEXTEL;Casado
Winifred L. Walton;South Africa;Fiumara;55(61)75409010;60;CLARO;Divorciado
Preston Conrad;Greece;Coihaique;55(70)40684249;18;TIM;Divorciado
Griffith P. Ayala;Somalia;Beaconsfield;55(21)42566231;57;CLARO;Solteiro
Donovan X. Herman;Cyprus;Welland;55(83)56943011;22;CLARO;Casado
Noah Kramer;Macao;Sunshine Coast Regional District;55(86)27769040;48;TIM;Divorciado
Cole Marsh;Nicaragua;Uyo;55(69)86132166;50;TIM;Casado
Akeem Jackson;Senegal;Bergerac;55(52)46660761;19;TIM;Solteiro
Buckminster Morgan;Norfolk Island;Fontecchio;55(42)48602570;24;OI;Divorciado
Rowan M. Reid;Cuba;Arnhem;55(14)92598822;45;TIM;Solteiro
Inez Jennings;Uruguay;Wiener Neustadt;55(27)54593173;31;NEXTEL;Solteiro
Silas Haynes;Liberia;Ayr;55(54)54907977;58;TIM;Solteiro
Ebony H. Frost;Afghanistan;Augusta;55(31)11910521;52;VIVO;Solteiro
Clarke E. Fuentes;Djibouti;Bafra;55(92)17538765;28;VIVO;Casado
