id;pais;cidade;telefone;idade;operadora;estado_civil
Quail Fitzpatrick;Sao Tome and Principe;Castlegar;55(71)65573635;56;VIVO;Solteiro
Shad Bullock;Kyrgyzstan;Bowling Green;55(76)45961332;28;TIM;Divorciado
Brianna Graves;Cyprus;Seevetal;55(61)95388800;22;OI;Solteiro
Nicole Willis;Mauritania;Stockport;55(28)44652426;37;CLARO;Divorciado
Yoshio O. Perkins;Japan;Perpignan;55(83)55858091;28;OI;Casado
Calvin N. Maynard;Belarus;Drongen;55(61)46417141;35;TIM;Divorciado
Hammett T. Hull;Fiji;Ostrowiec Świętokrzyski;55(92)97938380;21;TIM;Divorciado
Hiram Sanchez;Algeria;Pangnirtung;55(37)39628001;54;OI;Divorciado
Benedict D. Adams;Ghana;Miami;55(60)22955098;21;OI;Casado
Emerson J. Fox;United States;Valcourt;55(50)17168615;37;TIM;Solteiro
Alfonso M. Cochran;Bouvet Island;GrivegnŽe;55(28)24644409;44;CLARO;Solteiro
Dara Serrano;Luxembourg;Alviano;55(53)43143488;51;OI;Solteiro
Joshua A. Orr;South Georgia and The South Sandwich Islands;Auckland;55(21)25250441;37;TIM;Casado
Colleen Solteiroton;Lesotho;Portico e San Benedetto;55(49)55211772;25;VIVO;Solteiro
Sage B. Preston;Iceland;Gistel;55(45)10665002;55;VIVO;Casado
Jayme Pittman;Belarus;Grand Island;55(48)38209888;23;OI;Solteiro
Katelyn G. Martinez;Mongolia;Wals-Siezenheim;55(96)86270956;49;VIVO;Solteiro
Dale Vaughan;Oman;Dortmund;55(38)84099979;21;VIVO;Casado
Carlos A. Anthony;Cayman Islands;Kleinmachnow;55(88)68107767;36;NEXTEL;Divorciado
Raya Pacheco;Jordan;Vichuquén;55(35)58434298;39;NEXTEL;Casado
Ciaran F. Green;Saint Pierre and Miquelon;Borgomasino;55(05)19296607;43;TIM;Divorciado
Quintessa Garcia;Azerbaijan;Dubbo;55(59)41031390;26;NEXTEL;Casado
Margaret Bowers;Bahrain;Gaithersburg;55(34)79552724;56;OI;Casado
Jamal Short;Sao Tome and Principe;Ulm;55(56)12417662;37;NEXTEL;Divorciado
Melyssa T. Dawson;Kiribati;Portofino;55(44)74857341;46;VIVO;Divorciado
Dale B. Rosa;Papua New Guinea;Saalfelden am Steinernen Meer;55(11)68666492;30;CLARO;Solteiro
Iona J. Calhoun;Suriname;Desamparados;55(27)35377857;26;VIVO;Divorciado
Seth U. Morales;United Arab Emirates;l'Ecluse;55(36)83985707;28;NEXTEL;Solteiro
Carl Z. Norton;Poland;San Miguel;55(08)93553168;41;CLARO;Divorciado
Craig Pate;Timor-Leste;Butte;55(18)85445768;32;OI;Solteiro
Cecilia Neal;Djibouti;Lenna;55(47)82187549;29;OI;Casado
Theodore P. Horton;Somalia;Kungälv;55(99)22131083;24;OI;Solteiro
